Feature ID	Taxon	Confidence
ASV_18S_2623	d__Bacteria;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;os__Rickettsiales;f__Mitochondria;fs__Mitochondria;g__Mitochondria	0.7292180708783208
ASV_18S_2625	Unassigned	0.470420638723573
ASV_18S_2626	d__Bacteria;k__Bacteria	0.7184786603832155
ASV_18S_2628	Unassigned	0.356725600139029
ASV_18S_2630	d__Bacteria;k__Bacteria	0.7203124560352718
ASV_18S_2632	d__Bacteria;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;os__Rickettsiales;f__Mitochondria;fs__Mitochondria;g__Mitochondria	0.7835270668593463
ASV_18S_2634	Unassigned	0.4285809360174221
ASV_18S_2635	d__Eukaryota;k__Animalia	0.7505303411633026
ASV_18S_2636	d__Eukaryota	0.7527726196487188
ASV_18S_2639	Unassigned	0.5391063012509618
ASV_18S_2640	d__Eukaryota;k__Animalia	0.7219632586218578
ASV_18S_2642	d__Bacteria;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;os__Rickettsiales;f__Mitochondria;fs__Mitochondria;g__Mitochondria	0.7905588084929712
ASV_18S_2643	d__Eukaryota;k__Animalia	0.7031393214689482
ASV_18S_2644	d__Bacteria;k__Bacteria	0.9186162341901017
ASV_18S_2645	Unassigned	0.4680650757548306
ASV_18S_2646	Unassigned	0.379362293428226
ASV_18S_2647	d__Eukaryota	0.8535200073556016
ASV_18S_2648	Unassigned	0.31393307234305345
ASV_18S_2649	Unassigned	0.5714875479719137
ASV_18S_2651	Unassigned	0.6189440681855793
ASV_18S_2652	Unassigned	0.368088746215224
ASV_18S_2653	d__Eukaryota	0.8239068147293656
ASV_18S_2655	Unassigned	0.38409849471996194
ASV_18S_2657	d__Eukaryota;k__Chloroplastida;p__Phragmoplastophyta;c__Embryophyta;o__Liliopsida;os__Incertae_Sedis;f__Incertae_Sedis;fs__Incertae_Sedis;g__Zostera	0.9327728487806938
ASV_18S_2658	Unassigned	0.6818702758105762
ASV_18S_2660	Unassigned	0.5239183833993806
ASV_18S_2673	d__Bacteria;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;os__Rickettsiales;f__Mitochondria;fs__Mitochondria;g__Mitochondria	0.7500059759637383
ASV_18S_2678	Unassigned	0.703072181825548
ASV_18S_2681	d__Eukaryota	0.9990974335354903
ASV_18S_2682	d__Eukaryota	0.9940259797555228
ASV_18S_2683	d__Bacteria;k__Bacteria	0.8637076135888981
ASV_18S_2684	d__Bacteria;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;os__Rickettsiales;f__Mitochondria;fs__Mitochondria;g__Mitochondria	0.7276206582752266
ASV_18S_2686	d__Eukaryota;k__Amoebozoa;p__Amoebozoa;c__Tubulinea;o__Euamoebida;os__Euamoebida;f__Euamoebida;fs__Euamoebida;g__Hartmannella	0.999995276283799
ASV_18S_2687	d__Eukaryota;k__Amoebozoa;p__Amoebozoa;c__Tubulinea;o__Euamoebida;os__Euamoebida;f__Euamoebida;fs__Euamoebida;g__Hartmannella	0.9944430118856407
ASV_18S_2691	d__Eukaryota	0.9974469335044638
ASV_18S_2692	d__Eukaryota;k__Chloroplastida;p__Chlorophyta;c__Ulvophyceae;o__Ulvales;os__Ulvales;f__Ulvales;fs__Ulvales;g__Ulva	0.998819978267419
ASV_18S_2694	d__Bacteria;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;os__Rickettsiales;f__Mitochondria;fs__Mitochondria;g__Mitochondria	0.7772806366974924
ASV_18S_2699	d__Eukaryota;k__Stramenopiles;p__Labyrinthulomycetes;c__Labyrinthulomycetes;o__Labyrinthulomycetes;os__Labyrinthulomycetes;f__Labyrinthulaceae;fs__Labyrinthulaceae;g__Labyrinthula	0.7007771878511302
ASV_18S_2705	d__Eukaryota;k__Chloroplastida;p__Phragmoplastophyta;c__Embryophyta;o__Liliopsida;os__Incertae_Sedis;f__Incertae_Sedis;fs__Incertae_Sedis;g__Zostera	0.9615355018157951
ASV_18S_2716	d__Eukaryota;k__Stramenopiles;p__Labyrinthulomycetes;c__Labyrinthulomycetes;o__Labyrinthulomycetes;os__Labyrinthulomycetes;f__Labyrinthulaceae;fs__Labyrinthulaceae;g__Labyrinthula	0.9999897317314005
ASV_18S_2717	Unassigned	0.35626240000309783
ASV_18S_2719	d__Eukaryota;k__Stramenopiles;p__Labyrinthulomycetes;c__Labyrinthulomycetes;o__Labyrinthulomycetes;os__Labyrinthulomycetes;f__Labyrinthulaceae;fs__Labyrinthulaceae;g__Labyrinthula	0.7682080579975539
ASV_18S_2727	d__Eukaryota;k__Alveolata;p__Ciliophora;c__Intramacronucleata;o__Conthreep;os__Conthreep;f__Phyllopharyngea;fs__Suctoria;g__Acineta	0.9981809462768597
ASV_18S_2729	d__Eukaryota;k__Stramenopiles;p__Labyrinthulomycetes;c__Labyrinthulomycetes;o__Labyrinthulomycetes;os__Labyrinthulomycetes;f__Thraustochytriaceae;fs__Thraustochytriaceae;g__Aplanochytrium	0.9996851038080374
ASV_18S_2731	d__Eukaryota;k__Animalia;p__Cnidaria;c__Myxozoa;o__Bivalvulida;os__Bivalvulida;f__Bivalvulida;fs__Bivalvulida;g__Bivalvulida	0.702836103041412
ASV_18S_2733	Unassigned	0.3465897461848714
ASV_18S_2734	d__Bacteria;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;os__Rickettsiales;f__Mitochondria;fs__Mitochondria;g__Mitochondria	0.7272908161289741
ASV_18S_2735	Unassigned	0.5643329531655642
ASV_18S_2736	d__Bacteria;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;os__Rickettsiales;f__Mitochondria;fs__Mitochondria;g__Mitochondria	0.7398617353086592
ASV_18S_2738	d__Bacteria;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;os__Rickettsiales;f__Mitochondria;fs__Mitochondria;g__Mitochondria	0.7058630294491307
ASV_18S_2739	d__Bacteria;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;os__Rickettsiales;f__Mitochondria;fs__Mitochondria;g__Mitochondria	0.874159052161335
ASV_18S_2740	Unassigned	0.4046013188043368
ASV_18S_2741	Unassigned	0.5788895978604041
ASV_18S_2742	Unassigned	0.5208898755051035
ASV_18S_2743	d__Bacteria;k__Bacteria	0.710727840253026
ASV_18S_2744	d__Bacteria;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;os__Rickettsiales;f__Mitochondria;fs__Mitochondria;g__Mitochondria	0.8573272847200218
ASV_18S_2746	d__Eukaryota	0.711266953409554
ASV_18S_2748	Unassigned	0.33099628364747136
ASV_18S_2751	d__Bacteria;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;os__Rickettsiales;f__Mitochondria;fs__Mitochondria;g__Mitochondria	0.8897621453302069
ASV_18S_2752	d__Eukaryota	0.800810652995418
